#,admin4Pcode,admin4Name_eng,admin4Name_ukr,admin4Na_1_rus,admin4ClassType,admin4PoliticalType,admin3Pcode,admin3Name_eng,admin3Name_ukr,admin3Name_rus,admin3PoliticalType,admin2Pcode,admin2Name_eng,admin2Name_ukr,admin2Name_rus,admin2ClassType,admin2PoliticalType,admin1Pcode,admin1Name_eng,admin1Name_ukr,admin1Name_rus,admin1ClassType,Population,Population_source,X Longitude,Y Latitude,IDP location Cluster,IDP estimation
1096,UA0508013002,Bernashivka,Бернашівка,Бернашовка,сільські населені пункти (СНП),,UA0508013,Yaryshivska,Яришівська,Ярышевская,сільська ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,209,Census 2001,27.48177678,48.57715561,1,209
1127,UA4608005003,Byblo,Библо,Быбло,сільські населені пункти (СНП),,UA4608005,Dobromylska,Добромильська,Добромильская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,414,Census 2001,22.8636208,49.64510793,1,414
1130,UA4614009003,Bykiv,Биків,Быков,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,183,Census 2001,22.93565116,49.76722258,1,183
1207,UA7306023003,Bila Krynytsia,Біла Криниця,Белая Криница,сільські населені пункти (СНП),,UA7306023,Kamianetska,Кам'янецька,Каменская,сільська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,169,Census 2001,25.88540815,47.97664005,1,169
1210,UA2108011002,Bila Tserkva,Біла Церква,Белая Церковь,сільські населені пункти (СНП),,UA2108011,Solotvynska,Солотвинська,Солотвинская,селищна ОТГ,UA2108,Tiachivskyi,Тячівський,Тячевский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,3024,Census 2001,23.93315157,47.95251611,1,3024
1257,UA0702015002,Bilyn,Білин,Белин,сільські населені пункти (СНП),,UA0702015,Ovadnivska,Оваднівська,Овадновская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,432,Census 2001,24.26196343,50.94024066,1,432
1267,UA4608015004,Bilychi,Біличі,Беличи,сільські населені пункти (СНП),,UA4608015,Starosambirska,Старосамбірська,Старосамборская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,1409,Census 2001,22.89778685,49.44685063,1,1409
1274,UA7304019004,Bilivtsi,Білівці,Беловцы,сільські населені пункти (СНП),,UA7304019,Khotynska,Хотинська,Хотинская,міська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1114,Census 2001,26.48193975,48.34985101,1,1114
1369,UA7304017002,Bilousivka,Білоусівка,Белоусовка,сільські населені пункти (СНП),,UA7304017,Sokyrianska,Сокирянська,Сокирянская,міська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,3057,Census 2001,27.34093892,48.53548004,1,3057
1404,UA5110003001,Biliaivka,Біляївка,Беляевка,міста,"місто обласного значення, центр міської ОТГ",UA5110003,Biliaivska,Біляївська,Беляевская,міська ОТГ,UA5110,Odeskyi,Одеський,Одесский,район,,UA51,Odeska,Одеська,Одесская,область,12052,Census 2001,30.21779864,46.47860235,1,12052
1463,UA0702013002,Blahodatne,Благодатне,Благодатное,селища міського типу (СМТ),,UA0702013,Novovolynska,Нововолинська,Нововолынская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,9093,Census 2001,24.24816957,50.66602805,1,9093
1703,UA4614009004,Boievychi,Боєвичі,Боевичи,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,194,Census 2001,22.98705602,49.72544431,1,194
1704,UA4614011004,Bozha Volia,Божа Воля,Божья Воля,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,85,Census 2001,23.21188663,50.00777219,1,85
1740,UA5106003001,Bolhrad,Болград,Болград,міста,центр району; місто районного значення; центр міської ОТГ,UA5106003,Bolhradska,Болградська,Болградская,міська ОТГ,UA5106,Bolhradskyi,Болградський,Болградский,район,,UA51,Odeska,Одеська,Одесская,область,15631,Census 2001,28.60878775,45.68446748,1,15631
1763,UA4614009005,Bolianovychi,Боляновичі,Боляновичи,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,636,Census 2001,23.07035871,49.68218431,1,636
1802,UA4608005005,Bonevychi,Боневичі,Боневичи,сільські населені пункти (СНП),,UA4608005,Dobromylska,Добромильська,Добромильская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,698,Census 2001,22.82896586,49.5920618,1,698
1808,UA4614009006,Boratychi,Боратичі,Боратычи,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,281,Census 2001,22.94488958,49.70336418,1,281
1815,UA2102003005,Borzhava,Боржава,Боржава,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1502,Census 2001,22.72437624,48.15619853,1,1502
1823,UA4614011005,Borysy,Бориси,Борисы,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,39,Census 2001,23.3921272,50.0105535,1,39
1855,UA0706033002,Borove,Борове,Боровое,сільські населені пункти (СНП),,UA0706033,Rivnenska,Рівненська,Ровенская,сільська ОТГ,UA0706,Kovelskyi,Ковельський,Ковельский,район,,UA07,Volynska,Волинська,Волынская,область,284,Census 2001,23.83241178,51.26746151,1,284
1856,UA4606039003,Borove,Борове,Боровое,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,233,Census 2001,23.57903934,50.23393507,1,233
1907,UA0702019002,Bortniv,Бортнів,Бортнов,сільські населені пункти (СНП),,UA0702019,Poromivska,Поромівська,Поромовская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,450,Census 2001,24.10867677,50.77325475,1,450
1912,UA4608005006,Borshevychi,Боршевичі,Боршевичи,сільські населені пункти (СНП),,UA4608005,Dobromylska,Добромильська,Добромильская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,328,Census 2001,22.84260764,49.65251767,1,328
1933,UA0508003002,Borshchivtsi,Борщівці,Борщевцы,сільські населені пункти (СНП),,UA0508003,Vendychanska,Вендичанська,Вендичанская,селищна ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,1022,Census 2001,27.828616,48.55315291,1,1022
1939,UA4612013006,Boriatyn,Борятин,Борятин,сільські населені пункти (СНП),,UA4612013,Chervonohradska,Червоноградська,Червоноградская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,797,Census 2001,24.19412019,50.42263348,1,797
1943,UA2102019002,Botar,Ботар,Ботар,сільські населені пункти (СНП),,UA2102019,Pyiterfolvivska,Пийтерфолвівська,Паятерфолвовский,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,924,Census 2001,22.97168053,48.0248744,1,924
1947,UA2110025002,Botfalva,Ботфалва,Ботфалва,сільські населені пункти (СНП),,UA2110025,Kholmkivska,Холмківська,Холмковская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,579,Census 2001,22.20697358,48.57902762,1,579
1963,UA4612011006,Boianychi,Бояничі,Бояничи,сільські населені пункти (СНП),,UA4612011,Sokalska,Сокальська,Сокальская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,433,Census 2001,24.17090788,50.49092724,1,433
1988,UA7304003004,Brailivka,Браїлівка,Браиловка,сільські населені пункти (СНП),,UA7304003,Kelmenetska,Кельменецька,Кельменецкая,селищна ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,322,Census 2001,26.90657858,48.38701145,1,322
1996,UA7304017003,Bratanivka,Братанівка,Братановка,сільські населені пункти (СНП),,UA7304017,Sokyrianska,Сокирянська,Сокирянская,міська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,715,Census 2001,27.06452374,48.52748618,1,715
2101,UA4614011006,Brozhky,Брожки,Брожки,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,268,Census 2001,23.2069128,49.95110686,1,268
2113,UA0508005002,Bronnytsia,Бронниця,Бронница,сільські населені пункти (СНП),,UA0508005,Mohyliv-Podilska,Могилів-Подільська,Могилев-Подольская,міська ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,1266,Census 2001,27.89384757,48.40537834,1,1266
2246,UA0706033003,Budnyky,Будники,Будники,сільські населені пункти (СНП),,UA0706033,Rivnenska,Рівненська,Ровенская,сільська ОТГ,UA0706,Kovelskyi,Ковельський,Ковельский,район,,UA07,Volynska,Волинська,Волынская,область,197,Census 2001,23.77056566,51.33583618,1,197
2257,UA0702019003,Budiatychi,Будятичі,Будятичи,сільські населені пункти (СНП),,UA0702019,Poromivska,Поромівська,Поромовская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,636,Census 2001,24.17528039,50.70846859,1,636
2260,UA0702019004,Buzhanka,Бужанка,Бужанка,сільські населені пункти (СНП),,UA0702019,Poromivska,Поромівська,Поромовская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,787,Census 2001,24.12363948,50.75284686,1,787
2279,UA7304003005,Buzovytsia,Бузовиця,Бузовица,сільські населені пункти (СНП),,UA7304003,Kelmenetska,Кельменецька,Кельменецкая,селищна ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1642,Census 2001,26.92811253,48.49921399,1,1642
2303,UA7306055002,Bukivka,Буківка,Буковка,сільські населені пункти (СНП),,UA7306055,Tereblechenska,Тереблеченська,Тереблеченская,сільська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,913,Census 2001,26.10101,48.05017185,1,913
2322,UA5106005004,Bulativka,Булатівка,Булатовка,сільські населені пункти (СНП),,UA5106005,Borodinska,Бородінська,Бородинская,селищна ОТГ,UA5106,Bolhradskyi,Болградський,Болградский,район,,UA51,Odeska,Одеська,Одесская,область,6,Census 2001,29.10596596,46.41952359,1,6
2336,UA4614011007,Buniv,Бунів,Бунов,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,794,Census 2001,23.24279133,49.89739463,1,794
2338,UA4608021003,Bunkovychi,Буньковичі,Буньковичи,сільські населені пункти (СНП),,UA4608021,Khyrivska,Хирівська,Хыровская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,566,Census 2001,22.82217015,49.52309104,1,566
2349,UA7304003006,Burdiuh,Бурдюг,Бурдюг,сільські населені пункти (СНП),,UA7304003,Kelmenetska,Кельменецька,Кельменецкая,селищна ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,934,Census 2001,26.89193492,48.48074248,1,934
2441,UA4614009007,Butsiv,Буців,Буцов,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,707,Census 2001,22.98366942,49.82581159,1,707
2504,UA7306011002,Valia Kuzmyna,Валя Кузьмина,Валя Кузьмина,сільські населені пункти (СНП),,UA7306011,Volokivska,Волоківська,Волоковская,сільська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1864,Census 2001,25.98857263,48.18707149,1,1864
2511,UA7306003001,Vanchykivtsi,Ванчиківці,Ванчиковцы,сільські населені пункти (СНП),центр сільської ОТГ,UA7306003,Vanchykovetska,Ванчиковецька,Ванчиковецкая,сільська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,2648,Census 2001,26.442543,48.21291489,1,2648
2552,UA2102003006,Vary,Вари,Вары,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,3147,Census 2001,22.71047066,48.1224078,1,3147
2562,UA4612011007,Variazh,Варяж,Варяж,сільські населені пункти (СНП),,UA4612011,Sokalska,Сокальська,Сокальская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,879,Census 2001,24.09120578,50.51587264,1,879
2636,UA7304017004,Vasylivka,Василівка,Василевка,сільські населені пункти (СНП),,UA7304017,Sokyrianska,Сокирянська,Сокирянская,міська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1372,Census 2001,27.47157,48.52181867,1,1372
2696,UA4614011008,Vakhuly,Вахули,Вахулы,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,97,Census 2001,23.37203541,50.01607485,1,97
2701,UA7304001001,Vashkivtsi,Вашківці,Вашковцы,сільські населені пункти (СНП),центр сільської ОТГ,UA7304001,Vashkovetska,Вашковецька,Вашковецкая,сільська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,3662,Census 2001,27.12883801,48.40933838,1,3662
2726,UA2102003007,Velyka Bakta,Велика Бакта,Великая Бакта,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1047,Census 2001,22.66298252,48.1615312,1,1047
2733,UA2102007001,Velyka Byihan,Велика Бийгань,Великая Быйгань,сільські населені пункти (СНП),центр сільської ОТГ,UA2102007,Velykobyihanska,Великобийганська,Великобыйганская,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1893,Census 2001,22.57125733,48.24852819,1,1893
2740,UA7306043003,Velyka Buda,Велика Буда,Великая Буда,сільські населені пункти (СНП),,UA7306043,Ostrytska,Острицька,Острицкая,сільська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1291,Census 2001,26.09190039,48.15052159,1,1291
2771,UA2110005001,Velyka Dobron,Велика Добронь,Великая Добронь,сільські населені пункти (СНП),центр сільської ОТГ,UA2110005,Velykodobronska,Великодобронська,Великодобронская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,5687,Census 2001,22.38933032,48.42291891,1,5687
2819,UA2102019003,Velyka Palad,Велика Паладь,Великая Паладь,сільські населені пункти (СНП),,UA2102019,Pyiterfolvivska,Пийтерфолвівська,Паятерфолвовский,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1824,Census 2001,22.88420107,48.00353578,1,1824
2845,UA4608021004,Velyka Sushytsia,Велика Сушиця,Великая Сушица,сільські населені пункти (СНП),,UA4608021,Khyrivska,Хирівська,Хыровская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,1276,Census 2001,22.84497655,49.49207569,1,1276
2867,UA4608005007,Velyke,Велике,Великое,сільські населені пункти (СНП),,UA4608005,Dobromylska,Добромильська,Добромильская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,159,Census 2001,22.7376542,49.5467882,1,159
2886,UA2110003001,Velykyi Bereznyi,Великий Березний,Великий Березный,селища міського типу (СМТ),центр селищної ОТГ,UA2110003,Velykobereznianska,Великоберезнянська,Великоберезнянская,селищна ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,7207,Census 2001,22.45678689,48.89423747,1,7207
